id,host_id,host_is_superhost,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cancellation_policy,review_scores_rating,price
19127889,52080918,0,1,7,4,1,2,2,1,2,60,591
19972730,140693788,0,1,7,5,1,1,3,1,3,60,389
20259628,52080918,0,1,7,2,1,1,1,1,3,60,369
20748712,141070198,0,1,7,2,1,1,1,1,3,60,59997
22155697,159556693,0,1,7,2,1,1,1,1,3,60,221
22424494,163665338,0,2,7,6,2,3,3,1,3,60,859
22425437,163665338,0,2,7,5,1,2,2,1,2,60,570
22964206,167500871,0,4,7,2,1,1,1,1,3,60,597
22978583,30331961,0,4,7,4,1,2,3,1,2,60,450
23150602,21804932,0,2,7,4,1,1,1,1,1,60,597
23550420,161407210,0,1,7,2,1,1,1,1,3,60,369
23567352,176128325,0,1,7,2,1,1,1,1,3,60,228
24572180,28598126,0,1,7,2,1,0,1,1,3,60,201
24612615,157596155,0,5,7,2,1,1,1,1,3,60,450
24920886,77044516,0,16,7,2,1,1,1,1,2,60,121
25592837,65837111,0,1,7,2,1,1,1,1,3,60,161
26368029,151027648,0,1,7,2,1,1,1,1,3,60,470
26520288,199462165,0,3,7,2,1,1,1,1,3,60,188
26544033,198959194,0,1,7,6,1,2,4,1,3,60,591
26646002,192797033,0,8,7,2,1,1,1,1,3,60,295
26757456,201195475,0,1,7,3,1,1,2,1,2,60,188
26967629,42254683,0,2,7,1,2,1,1,1,2,60,248
27712734,204329003,0,1,7,6,1,1,6,1,3,60,87
27938420,190703554,0,4,7,4,1,2,2,1,2,60,671
28624362,154267026,0,1,7,1,1,1,1,1,1,60,228
28748702,169233777,0,1,7,2,1,1,1,1,3,60,215
28791733,152764296,0,1,7,1,1,1,1,1,3,60,114
28817893,196377840,0,1,7,2,1,0,1,1,3,60,396
28819295,196377840,0,1,7,2,1,0,1,1,3,60,429
28819434,196377840,0,1,7,2,1,0,1,1,3,60,429
28848832,196377840,0,1,7,2,1,0,1,1,3,60,497
29243105,183049959,0,1,7,1,2,1,1,1,2,60,67
29313894,176191499,0,4,7,3,1,0,2,1,3,60,221
29325078,220702099,0,1,7,6,1,3,3,1,3,60,725
29726407,207637339,0,4,7,1,0.5,1,1,1,3,60,107
30022313,225660433,0,5,7,2,1,0,1,1,3,60,168
30702187,229405259,0,1,7,1,1,1,1,1,2,60,67
30753648,213468831,0,1,7,2,1,1,1,1,3,60,436
30941196,231199015,0,2,7,8,1,3,4,1,1,60,886
30966246,215467775,0,5,7,2,1,1,1,1,3,60,188
30969469,213468831,0,1,7,2,1,1,2,1,3,60,557
31082617,184243561,0,1,7,2,1,1,1,1,1,60,409
31186948,225063118,0,16,7,2,1,0,1,1,3,60,188
31365385,223169703,0,5,7,8,2,3,5,1,3,60,691
32020480,35287975,1,1,7,6,1,2,3,1,1,60,664
32271226,198123752,0,2,7,2,1,1,1,1,2,60,389
32387896,236703828,0,1,7,2,1,1,1,1,3,60,228
32427660,222304688,0,1,7,3,1,0,2,1,3,60,423
32431868,156712000,0,4,7,3,1,1,2,1,3,60,336
32642022,245421704,0,8,7,1,1,1,1,1,3,60,268
32994702,238437494,0,16,7,4,1,1,2,1,3,60,188
33085167,248188950,0,16,7,4,1,1,2,1,3,60,698
33240011,215372866,1,5,7,6,1,2,3,1,3,60,456
33461694,251303645,0,5,7,4,1,1,1,1,1,60,228
28792887,181902649,0,1,7,2,1,1,1,1,3,53,497
25024456,115466480,0,5,7,4,1,0,2,1,3,50,450
27670240,193820242,0,4,7,3,1,1,3,1,3,50,248
26760950,86950707,0,2,7,4,1,2,2,1,2,47,302
20099845,26076327,0,3,7,2,1,1,2,1,1,40,698
24509518,146456130,0,8,7,2,1,0,1,1,1,40,248
26366384,198278979,0,7,7,2,1,1,1,1,3,40,356
26559700,125312658,0,4,7,4,1,2,2,1,2,40,637
26640918,199113883,0,3,7,2,1,1,1,1,2,40,369
26691667,115116989,0,4,7,1,1,1,1,1,1,40,127
26722841,153994278,0,1,7,4,1,2,2,1,1,40,490
27408986,193820242,0,4,7,3,1,1,2,1,3,40,336
27584744,8837778,0,1,7,3,1,1,2,1,3,40,268
27670266,197786362,0,2,7,3,1,1,2,1,3,40,329
27671590,185173263,0,5,7,8,1,2,4,1,3,40,651
27988455,149357208,0,7,7,6,1,2,3,1,3,40,537
28444327,196377840,0,1,7,2,1,,1,1,3,40,497
28546956,196377840,0,1,7,2,1,0,1,1,3,40,456
28765670,203483546,0,1,7,2,1,1,1,1,3,40,201
28996903,207682978,0,16,7,2,1,1,1,1,1,40,188
29551813,31280856,0,1,7,4,1,2,2,1,1,40,497
29740517,223739280,0,8,7,2,1,1,1,1,3,40,107
30867547,151727455,0,4,7,4,1,2,2,1,3,40,490
32903653,188244398,0,1,7,2,1,1,1,1,1,40,188
33047766,220162333,0,1,7,2,1,1,1,1,2,40,376
22855623,166135220,0,4,7,2,2,3,2,1,2,20,181
22991225,54436429,0,4,7,10,2,4,5,1,1,20,1691
24531053,145091876,0,1,7,2,1,2,2,1,3,20,242
24835737,183049959,0,1,7,4,1,1,3,1,2,20,262
25847028,194214451,0,5,7,1,2,1,10,1,3,20,81
25985185,86950707,0,1,7,4,1,2,2,1,1,20,631
27067560,198959194,0,1,7,6,1,2,4,1,3,20,591
28835250,217344724,0,1,7,2,1,1,1,1,3,20,369
29527183,220702099,0,2,7,6,1,3,3,1,3,20,1288
29834273,196377840,0,1,7,2,1,1,1,1,3,20,597
30054456,118636724,0,1,7,2,1,1,1,1,3,20,309
30774485,213468831,0,4,7,2,1,1,1,1,3,20,416
31575863,147427912,0,3,7,3,1,0,2,1,3,20,235
31724599,196377840,0,1,7,2,1,0,1,1,3,20,356
31938462,222627483,0,5,7,4,1,1,2,1,3,20,389
32555188,222304688,0,1,7,3,1,0,1,1,1,20,396
33110562,245540343,0,16,7,1,1,1,1,1,3,20,101
1198579,6547841,0,2,8,2,1,1,1,1,1,100,597
11628095,58944350,0,1,8,2,1,1,1,1,2,100,731
13564625,58944350,0,1,8,2,1,1,1,1,2,100,980
15647508,38047586,0,9,8,2,1,1,1,1,3,100,389
15974339,103771767,0,16,8,16,8,10,12,1,3,100,382
19878015,80373198,0,13,8,2,1,1,1,1,3,100,550
20381566,145343517,0,13,8,2,1,1,1,1,2,100,1080
20851106,148180505,0,9,8,2,1,1,1,1,3,100,980
21829477,159144662,0,5,8,2,1,1,2,1,3,100,107
22068287,160781579,0,10,8,2,1,1,1,1,3,100,597
22986592,170462410,0,16,8,2,1,1,1,1,2,100,792
23487042,170462410,0,16,8,2,1,1,2,1,2,100,597
23487220,170462410,0,16,8,2,1,1,1,1,2,100,597
23487246,170462410,0,16,8,2,1,1,1,1,2,100,597
23487382,170462410,0,16,8,2,1,1,1,1,2,100,792
23487446,170462410,0,16,8,2,1,1,1,1,2,100,792
23487578,170462410,0,16,8,2,1,1,1,1,2,100,792
23487595,170462410,0,16,8,2,1,1,1,1,2,100,792
23487624,170462410,0,16,8,2,1,1,1,1,2,100,597
23801672,80373198,0,13,8,2,1,1,1,1,3,100,550
23850004,152279208,0,4,8,2,1,1,1,1,1,100,591
24123436,157149009,0,16,8,2,1,1,1,1,2,100,295
24317539,174534660,0,11,8,2,1,1,1,1,3,100,1282
24324205,183517186,0,13,8,2,1,1,1,1,3,100,168
25038540,187391218,0,9,8,8,2,2,2,1,3,100,3181
25357410,187391218,0,9,8,8,2,2,4,1,3,100,2879
25359375,187391218,0,9,8,4,2,2,2,1,3,100,2577
25665297,192631231,0,13,8,2,1,1,1,1,2,100,1483
25704233,192631231,0,13,8,3,1,1,1,1,3,100,1181
26116691,51975556,0,2,8,2,1,1,1,1,2,100,1577
26123916,67998390,1,9,8,1,1,1,1,1,1,100,396
26785092,201412508,0,16,8,2,1,1,1,1,3,100,577
27043805,145753396,0,10,8,9,3,4,4,1,1,100,2798
27064712,152683567,0,2,8,2,1,1,1,1,3,100,1188
28438566,214630481,0,9,8,2,1,1,1,1,3,100,188
28725350,210253050,1,16,8,2,1,1,1,1,1,100,228
28901351,114735655,0,1,8,2,1,1,2,1,3,100,295
28992203,48832761,0,4,8,1,1,1,1,1,3,100,262
29070724,183669561,0,3,8,8,4,3,4,1,1,100,3885
31091255,228349039,0,4,8,2,1,1,1,1,1,100,752
31106417,229485771,0,13,8,4,1,1,1,1,3,100,1980
31186173,214630481,0,9,8,2,1,1,2,1,3,100,188
31307370,70412208,0,2,8,3,1,1,1,1,3,100,980
31451287,228628503,0,1,8,2,1,1,1,1,3,100,188
31479968,194872205,0,14,8,2,1,1,1,1,1,100,819
31554395,70412208,0,2,8,2,1,1,1,1,3,100,678
31574806,70412208,0,2,8,2,1,1,1,1,2,100,678
31797523,157102417,0,1,8,2,1,1,1,1,3,100,591
31888549,170294901,0,3,8,2,1,1,1,1,1,100,785
31888830,170294901,0,3,8,2,1,1,2,1,1,100,886
31889002,170294901,0,3,8,3,1,0,2,1,1,100,886
31889188,170294901,0,3,8,1,1,1,1,1,1,100,785
32878206,244263902,0,13,8,4,1,1,4,1,3,100,483
33141505,249515331,0,9,8,4,2,2,2,1,2,100,1691
33296047,249515331,0,9,8,2,1,1,1,1,2,100,490
33503035,244263902,0,13,8,4,1,1,4,1,3,100,879
8788133,13604427,0,5,8,2,1,1,1,1,1,99,550
11283515,58944350,0,1,8,2,1,1,1,1,2,99,731
8785199,13604427,0,5,8,2,1,1,1,1,1,98,544
8786445,13604427,0,5,8,2,1,1,2,1,1,98,550
13564721,58944350,0,1,8,2,1,1,1,1,2,98,980
14012625,43437444,0,2,8,2,1,1,1,1,1,98,577
16469030,108068724,1,10,8,3,1,1,2,1,3,98,705
19772724,80373198,0,13,8,3,1,1,2,1,3,98,651
24884313,188125014,0,1,8,2,1,0,1,1,2,98,228
8786229,13604427,0,5,8,3,1,1,2,1,2,97,550
13734275,67998390,1,9,8,2,1,1,1,1,1,97,302
13944487,43437444,0,2,8,2,1,1,1,1,1,97,597
14012318,43437444,0,2,8,2,1,1,1,1,1,97,577
14012616,43437444,0,2,8,2,1,1,1,1,1,97,577
28445304,65848559,0,2,8,7,1,3,5,1,2,97,799
8788262,13604427,0,5,8,3,1,1,1,1,1,96,550
9142891,13604427,0,5,8,3,1,1,3,1,1,96,416
14342954,58944350,0,1,8,2,1,1,1,1,2,96,852
8787628,13604427,0,5,8,6,1,1,3,1,1,95,792
13944452,43437444,0,2,8,2,1,1,1,1,1,95,577
1165067,5042487,0,2,8,2,1,1,1,1,2,94,510
13962253,43437444,0,2,8,2,1,1,1,1,1,94,597
4121250,21345581,0,3,8,2,1,1,1,1,3,93,1181
25390712,51975556,0,3,8,2,1,1,1,1,2,93,980
31026223,76442326,0,2,8,2,1,1,1,1,3,93,282
33227271,249513061,0,7,8,4,2,2,2,1,1,90,396
21361705,152279208,0,4,8,2,1,1,1,1,1,89,255
28566152,31962851,0,12,8,4,2,2,2,1,3,85,396
1303170,6547841,0,2,8,3,1,1,1,1,1,80,1154
17983585,13604427,0,5,8,11,5,4,7,1,1,80,2852
